2597 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymA_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymA_cool_star_SN']
LCDM_vanilla	SymA_cool_star_SN
1717	None
1718	None
1719	None
1720	None
1721	None
1722	None
1723	None
1724	2336
1725	4560
1726	None
1727	None
1728	None
1729	None
1730	None
1731	None
1732	2891
1733	None
1734	None
1735	None
1736	None
1737	None
1738	None
1739	4064
1740	3746
1741	4840
1742	None
1743	None
1744	None
1745	None
1746	None
1747	4175
1748	None
1749	None
1750	2244
1751	3015
1752	2790
1753	None
1754	None
1755	None
1756	5089
1757	None
1758	2949
1759	3892
1760	None
1761	2147
1762	None
1763	2364
1764	None
1765	None
1766	None
1767	3509
1768	None
1769	3663
1770	None
1771	None
1772	None
1773	3718
1774	None
1775	None
1776	None
1777	4613
1778	None
1779	None
1780	None
1781	None
1782	4987
1783	None
1784	None
1785	None
1786	2125
1787	4754
1788	3606
1789	None
1790	None
1791	4203
1792	None
1793	None
1794	None
1795	3621
1796	3952
1797	1220
1798	None
1799	2814
1800	3904
1801	4478
1802	1516
1803	3545
1804	None
1805	3607
1806	None
1807	None
1808	None
1809	2935
1810	None
1811	6113
1812	3123
1813	None
1814	None
1815	None
1816	None
1817	None
1818	None
1819	4661
1820	None
1821	None
1822	None
1823	3791
1824	2475
1825	None
1826	2931
1827	None
1828	None
1829	None
1830	None
1831	None
1832	None
1833	None
1834	3256
1835	None
1836	2743
1837	None
1838	None
1839	None
1840	4270
1841	3670
1842	None
1843	None
1844	2028
1845	None
1846	None
1847	2632
1848	2960
1849	4856
1850	2429
1851	3452
1852	None
1853	3786
1854	2865
1855	None
1856	None
1857	2620
1858	None
1859	4004
1860	2568
1861	None
1862	2761
1863	None
1864	None
1865	3681
1866	3275
1867	3037
1868	None
1869	3719
1870	None
1871	None
1872	None
1873	None
1874	None
1875	2876
1876	2758
1877	None
1878	None
1879	2235
1880	None
1881	None
1882	3181
1883	None
1884	None
1885	2385
1886	None
1887	3819
1888	3691
1889	3450
1890	None
1891	2616
1892	6085
1893	None
1894	3823
1895	2187
1896	3598
1897	None
1898	None
1899	None
1900	None
1901	None
1902	None
1903	3282
1904	3909
1905	None
1906	None
1907	5352
1908	None
1909	4572
1910	None
1911	None
1912	4335
1913	3210
1914	1838
1915	None
1916	None
1917	2752
1918	None
1919	5210
1920	3865
1921	2879
1922	None
1923	None
1924	None
1925	None
1926	3507
1927	5521
1928	None
1929	None
1930	None
1931	None
1932	7072
1933	None
1934	5946
1935	4863
1936	4531
1937	None
1938	3314
1939	None
1940	4042
1941	None
1942	6690
1943	2045
1944	None
1945	None
1946	None
1947	None
1948	1673
1949	2873
1950	2976
1951	5554
1952	3857
1953	1910
1954	5332
1955	None
1956	4158
1957	2065
1958	None
1959	None
1960	None
1961	3470
1962	3657
1963	None
1964	3287
1965	4752
1966	4140
1967	None
1968	None
1969	None
1970	None
1971	None
1972	5934
1973	None
1974	4625
1975	None
1976	2582
1977	3694
1978	None
1979	4052
1980	3406
1981	2056
1982	None
1983	None
1984	None
1985	None
1986	None
1987	None
1988	4457
1989	None
1990	None
1991	1765
1992	3482
1993	961
1994	None
1995	None
1996	1580
1997	3729
1998	None
1999	None
2000	None
2001	None
2002	1617
2003	4691
2004	2291
2005	None
2006	3227
2007	1367
2008	None
2009	None
2010	1561
2011	None
2012	None
2013	5789
2014	3141
2015	3786
2016	None
2017	None
2018	None
2019	None
2020	4039
2021	4022
2022	None
2023	5212
2024	2845
2025	2882
2026	2540
2027	None
2028	None
2029	None
2030	4130
2031	None
2032	3711
2033	2730
2034	None
2035	3501
2036	3792
2037	None
2038	None
2039	3884
2040	None
2041	2899
2042	3915
2043	3032
2044	None
2045	1642
2046	None
2047	4823
2048	2490
2049	None
2050	4531
2051	None
2052	None
2053	5146
2054	None
2055	3782
2056	2826
2057	3817
2058	None
2059	None
2060	3878
2061	None
2062	7182
2063	None
2064	None
2065	3802
2066	None
2067	2761
2068	2562
2069	None
2070	5637
2071	None
2072	2433
2073	2154
2074	3974
2075	3881
2076	3273
2077	None
2078	5919
2079	3816
2080	3947
2081	None
2082	None
2083	3290
2084	None
2085	3374
2086	None
2087	1920
2088	None
2089	None
2090	3520
2091	4001
2092	3637
2093	None
2094	4280
2095	4217
2096	4912
2097	None
2098	None
2099	None
2100	2668
2101	None
2102	None
2103	4065
2104	6116
2105	3941
2106	None
2107	3944
2108	4063
2109	None
2110	None
2111	None
2112	None
2113	4153
2114	4112
2115	None
2116	None
2117	None
2118	None
2119	1498
2120	None
2121	4190
2122	5723
2123	4036
2124	None
2125	None
2126	4887
2127	2833
2128	3832
2129	None
2130	3951
2131	5256
2132	None
2133	3625
2134	2323
2135	4509
2136	None
2137	None
2138	4522
2139	None
2140	5341
2141	2603
2142	None
2143	None
2144	None
2145	4059
2146	2425
2147	2236
2148	3771
2149	None
2150	4186
2151	5306
2152	None
2153	3292
2154	3876
2155	2396
2156	3069
2157	5910
2158	None
2159	4026
2160	None
2161	3396
2162	1770
2163	3942
2164	None
2165	3325
2166	None
2167	2126
2168	None
2169	4039
2170	3238
2171	None
2172	6939
2173	None
2174	3280
2175	None
2176	None
2177	7473
2178	2352
2179	4070
2180	5121
2181	1841
2182	2817
2183	None
2184	None
