1603 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_DM', '64', '.5', 'match_LCDM_vanilla_SymD_DM']
LCDM_vanilla	SymD_DM
1748	None
1749	None
1750	2397
1751	3125
1752	1517
1753	None
1754	None
1755	None
1756	None
1757	None
1758	2946
1759	4760
1760	None
1761	None
1762	None
1763	None
1764	None
1765	None
1766	3643
1767	2105
1768	None
1769	None
1770	None
1771	None
1772	None
1773	4843
1774	None
1775	None
1776	None
1777	None
1778	4351
1779	4402
1780	None
1781	5507
1782	4860
1783	None
1784	4797
1785	None
1786	None
1787	4829
1788	None
1789	None
1790	5267
1791	None
1792	None
1793	5153
1794	None
1795	None
1796	None
1797	None
1798	None
1799	4527
1800	None
1801	1872
1802	None
1803	None
1804	None
1805	None
1806	None
1807	None
1808	4334
1809	None
1810	None
1811	None
1812	None
1813	None
1814	5115
1815	None
1816	None
1817	None
1818	None
1819	3213
1820	None
1821	None
1822	4726
1823	None
1824	5026
1825	None
1826	2020
1827	3031
1828	None
1829	5439
1830	None
1831	None
1832	None
1833	None
1834	None
1835	2601
1836	None
1837	None
1838	5776
1839	None
1840	5063
1841	None
1842	5493
1843	None
1844	None
1845	None
1846	None
1847	None
1848	2812
1849	1391
1850	None
1851	None
1852	3439
1853	None
1854	None
1855	None
1856	None
1857	None
1858	None
1859	None
1860	1223
1861	None
1862	4108
1863	None
1864	None
1865	None
1866	5203
1867	None
1868	None
1869	None
1870	None
1871	None
1872	None
1873	2678
1874	None
1875	None
1876	5454
1877	5123
1878	None
1879	2104
1880	None
1881	None
1882	None
1883	1711
1884	None
1885	None
1886	None
1887	4482
1888	None
1889	3206
1890	None
1891	None
1892	None
1893	None
1894	None
1895	590
1896	None
1897	None
1898	2442
1899	None
1900	None
1901	4473
1902	None
1903	3864
1904	None
1905	None
1906	None
1907	None
1908	None
1909	3673
1910	3110
1911	5290
1912	None
1913	None
1914	None
1915	None
1916	None
1917	3656
1918	None
1919	1832
1920	3683
1921	None
1922	None
1923	None
1924	None
1925	None
1926	None
1927	4755
1928	None
1929	None
1930	None
1931	None
1932	None
1933	None
1934	3309
1935	None
1936	3783
1937	None
1938	None
1939	1443
1940	4552
1941	None
1942	None
1943	1955
1944	None
1945	None
1946	None
1947	None
1948	None
1949	None
1950	None
1951	4070
1952	None
1953	None
1954	None
1955	None
1956	2994
1957	None
1958	None
1959	None
1960	None
1961	2407
1962	None
1963	None
1964	5925
1965	3009
1966	3526
1967	5335
1968	None
1969	None
1970	None
1971	None
